Country Name,User Population,Language Status,Other Comments,Language Development
Ireland,N/A,N/A,N/A,N/A
Afghanistan,"2,300,500 in Afghanistan, all users. L1 users: 500 in Afghanistan (2023 Joshua Project), based on ethnicity. L2 users: 2,300,000 (2022 World Factbook).",5* (Dispersed).,Non-indigenous.,N/A
Albania,"9,000 in Albania (2023 Joshua Project), based on ethnicity.",Unestablished.,Non-indigenous.,Taught as subject in secondary schools.
Algeria,"2,527,260 in Algeria, all users. L1 users: 7,260 in Algeria (2015 UNSD). L2 users: 2,520,000 (Ramaswami et al 2012).",4 (Educational).,Non-indigenous.,Taught as subject in secondary schools. Taught in some tertiary schools.
American Samoa,"42,240 in American Samoa, all users. L1 users: 1,440 in American Samoa (2024). L2 users: 40,800 (2024).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
Andorra,"19,330 in Andorra, all users. L1 users: 1,430 in Andorra (2021 World Factbook). L2 users: 17,900 (2004 Institut d’Estudis Catalans).",5* (Dispersed).,Non-indigenous.,Taught as subject in most primary and secondary schools.
Anguilla,550 in Anguilla (2021). It is difficult to substantiate the number of Creole speakers and English speakers.,1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
Antigua and Barbuda,"17,140 in Antigua and Barbuda, all users. L1 users: 14,200 in Antigua and Barbuda (2023). It is difficult to substantiate the number of Creole speakers and English speakers. L2 users: 2,940 (2023).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
Argentina,"7,100,000 in Argentina, all users. L1 users: 100,000 in Argentina (1985 New York Times). L2 users: 7,000,000 (2020).",5* (Dispersed).,Non-indigenous. The British came to build the railroads in Argentina in the early 1800s.,N/A
Armenia,"144,000 in Armenia (2022 census), L2 users.",4 (Educational).,Non-indigenous.,Taught as subject in all secondary schools in grade 10 and 11. Taught at the American University of Armenia (AUA).
Aruba,"63,480 in Aruba, all users. L1 users: 7,880 in Aruba (2020 World Factbook). L2 users: 55,600 (2020).",3 (Wider communication). De facto national working language.,Non-indigenous.,Taught as subject in all primary and secondary schools.
Australia,"24,400,000 in Australia (2020), all users. L1 users: 18,300,000 (2021 census).",1 (National). De facto national language.,Non-indigenous. Minor regional dialect differences. Neo-Nyungar is the community dialect of the Nyungar [nys] people.,Taught in all primary and secondary schools. Taught in all tertiary schools.
Austria,"6,514,700 in Austria, all users. L1 users: 14,700 in Austria (2018 J. Leclerc). L2 users: 6,500,000 (2019).",4 (Educational).,Non-indigenous.,Taught as subject in most primary and secondary schools.
Azerbaijan,"2,800 in Azerbaijan (Leclerc 2017b).",Unestablished.,Non-indigenous.,Taught in some tertiary schools.
Bahamas,"37,300 in Bahamas (2021).",1 (National). De facto national language.,"Non-indigenous. When Creole languages exist alongside their lexifier language, as in the Bahamas, a continuum forms of variations between the Creole and the lexifier language. It is therefore difficult to substantiate the number of Creole speakers and English speakers.",Taught in all primary and secondary schools.
Bahrain,"25,200 in Bahrain (2020).",3 (Wider communication). De facto national working language.,Non-indigenous.,Taught as subject in all primary and secondary schools.
Bangladesh,"29,800,000 in Bangladesh (2022 Euromonitor International), L2 users.",5* (Dispersed).,Non-indigenous.,Taught as subject in all secondary schools. Taught in most tertiary schools.
Barbados,"42,100 in Barbados, all users. L1 users: 29,100 in Barbados (2021). L2 users: 13,000 (Crystal 2003a).",1 (National). De facto national language.,"Non-indigenous. When Creole languages exist alongside their lexifier language, as in Barbados, a continuum forms of variations between the Creole and the lexifier language. It is therefore difficult to substantiate the number of Creole speakers and English speakers. Christian.",Taught in all primary and secondary schools.
Belarus,"1,120,000 in Belarus (2020), L2 users.",5* (Dispersed).,Non-indigenous.,Taught as subject in secondary schools.
Belgium,"4,478,800 in Belgium, all users. L1 users: 58,800 in Belgium (2021 census), based on nationality. L2 users: 4,420,000 (2021).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools.
Belize,"240,000 in Belize, all users. L1 users: 184,000 in Belize (2014 UNSD). L2 users: 56,000 (Crystal 2003a).",1 (National). De facto national language.,"Non-indigenous. When Creole languages exist alongside their lexifier language, as in Belize, a continuum forms of variations between the Creole and the lexifier language It is therefore difficult to substantiate the number of Creole speakers and English speakers.",Taught in all primary and secondary schools.
Bermuda,"61,400 in Bermuda (2020).",1 (National). De facto national language.,Non-indigenous. Colloquial English may not be a creole but a regional variety of uncreolized English.,Taught in all primary and secondary schools.
Bhutan,N/A,3 (Wider communication). De facto national working language.,Non-indigenous.,"Taught in many primary schools, especially private schools. Used as language of instruction in all secondary schools. Taught in all tertiary schools."
Botswana,"999,900 in Botswana, all users. L1 users: 65,900 in Botswana (2020). L2 users: 934,000 (2020).",1 (National). De facto national working language.,Non-indigenous.,Taught in all primary and secondary schools from grade 3; taught as subject in grades 1–2. Taught in all tertiary schools.
Brazil,"10,921,000 in Brazil, all users. L1 users: 121,000 in Brazil (2020 Registro Nacional Migratório no Brasil), based on nationality. L2 users: 10,800,000 (2020 British Council).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools. Taught as L2.
British Indian Ocean Territory,"3,000 in British Indian Ocean Territory (2018 World Factbook).",1 (National). De facto national language.,"Non-indigenous. The indigenous population no longer resides in the islands. Current residents include members of the United States military, a small detachment of British officials, and support staff, mainly of Mauritian and Philippine origin.",It is not used in education since there are no schools within the territory.
British Virgin Islands,"3,000 in British Virgin Islands (2021).",1 (National). De facto national language.,"Non-indigenous. When Creole languages exist alongside their lexifier language, as in the British Virgin Islands, a continuum forms of variations between the Creole and the lexifier language. It is therefore difficult to substantiate the number of Creole speakers and English speakers.",Taught in all primary and secondary schools.
Brunei,"170,130 in Brunei, all users. L1 users: 5,130 in Brunei (2021). L2 users: 165,000 (2021).","1 (National). Statutory national working language (1984, Constitution, Article 82(2)).",Non-indigenous.,"Taught in all primary and secondary schools from grade 3, used as the language of instruction for the sciences, mathematics, geography, history, and the English language. Taught as subject in all primary schools in grades 1 and 2. Taught in tertiary schools."
Bulgaria,"1,712,400 in Bulgaria, all users. L1 users: 2,400 in Bulgaria (2022). L2 users: 1,710,000 (2022).",4 (Educational).,Non-indigenous.,Taught as subject in secondary schools.
Cambodia,"3,503,400 in Cambodia, all users. L1 users: 3,400 in Cambodia (2019 J. Leclerc). L2 users: 3,500,000 (2016 R. Salin).",3 (Wider communication).,Non-indigenous. English [eng] has surpassed French [fra] as the more commonly spoken international language in Cambodia.,Taught as subject in most secondary schools.
Cameroon,"10,005,900 in Cameroon, all users. L1 users: 5,900 in Cameroon (2020 Joshua Project), based on ethnicity. L2 users: 10,000,000 (Pinyon and Haydon 2010).","1 (National). Statutory national language (1996, Constitution, Article 1(3)).",Non-indigenous.,Taught in all primary and secondary schools in North West and South West regions; taught as subject in all schools in other regions. Taught in all tertiary schools in North West and South West regions.
Canada,"31,600,000 in Canada (2021 census), all users. L1 users: 21,400,000 (2021 census). 17,200,000 monolinguals (2021 census).","1 (National). Statutory national language (1988, Official Languages Act, Ch. 38, Articles 1, 34).",Non-indigenous.,Taught in all primary and secondary schools. Taught in all tertiary schools.
Caribbean Netherlands,"3,390 in Caribbean Netherlands (2001 census). Bonaire 300, Sint Eustatius 1,900, Saba 1,190.","1 (National). Statutory national language (2010, Provisional Official Languages Law, BWBR0028827, Article 2).","Non-indigenous. When Creole languages exist alongside their lexifier language, a continuum forms of variations between the Creole and the lexifier language. It is therefore difficult to substantiate the number of Creole speakers and English speakers.",Used as language of instruction in secondary schools on Saba.
Cayman Islands,"58,400 in Cayman Islands (2022).",1 (National). De facto national language.,Non-indigenous. Local colloquial English seemingly borrowed creole features similar to Jamaica and Central America without undergoing creolization (Holm 1989:479–480).,Taught in all primary and secondary schools.
Chile,"1,975,500 in Chile, all users. L1 users: 15,500 in Chile (2020 Joshua Project), based on ethnicity. L2 users: 1,960,000 (2022 World Factbook).",4 (Educational).,Non-indigenous. There is high demand for English education and policies are being pushed to make English the primary second language.,Taught as subject in many primary and secondary schools.
China,"15,620,000 in China, all users. L1 users: 120,000 in China (2020 Joshua Project), based on ethnicity. L2 users: 15,500,000 (Wei and Su 2012).",4 (Educational).,Non-indigenous.,Taught as subject in most primary and secondary schools from grade 4. Taught in some tertiary schools.
Christmas Island,550 in Christmas Island (2020 World Factbook).,1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
Cocos (Keeling) Islands,130 in Cocos (Keeling) Islands (2020 World Factbook).,1 (National). De facto national working language.,Non-indigenous.,Taught in all primary and secondary schools.
Colombia,"2,023,900 in Colombia, all users. L1 users: 23,900 in Colombia (2020 Joshua Project), based on ethnicity. L2 users: 2,000,000 (2020).",5* (Dispersed).,Non-indigenous.,N/A
Cook Islands,"13,180 in Cook Islands, all users. L1 users: 680 in Cook Islands (2011 SIL). L2 users: 12,500 (2012 World Factbook).","1 (National). Statutory national language (1965, Constitution, Article 35).",Non-indigenous. All the residents of Palmerston Island speak a distinctive dialect of English and have close family connections to Penrhyn. The Palmerston residents are descendants of an Englishman with several Cook Islands wives who settled on Palmerston in the 19th century (2012 M. Salisbury).,Taught as subject in primary schools. Used as language of instruction in all secondary schools.
Costa Rica,"399,500 in Costa Rica, all users. L1 users: 17,500 in Costa Rica (2021 Joshua Project), based on ethnicity. L2 users: 382,000 (2020 census).",5* (Dispersed).,Non-indigenous.,Taught as subject in most secondary schools.
Croatia,"2,002,860 in Croatia, all users. L1 users: 2,860 in Croatia (2021 census). L2 users: 2,000,000 (European Commission 2006).",4 (Educational).,Non-indigenous.,Taught as subject in primary and secondary schools.
Curacao,"4,800 in Curacao (2020 World Factbook).",5* (Dispersed).,Non-indigenous.,Taught as subject in most secondary schools.
Cyprus,"930,500 in Cyprus, all users. L1 users: 49,500 in Cyprus (2020). L2 users: 881,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools.
Czechia,"2,920,500 in Czechia, all users. L1 users: 30,500 in Czechia (2021 census). L2 users: 2,890,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in most primary and secondary schools from grade 3.
Denmark,"5,035,000 in Denmark, all users. L1 users: 35,000 in Denmark (2023 census), based on nationality. L2 users: 5,000,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools in grades 3–9. Taught in some tertiary schools.
Dominica,"68,300 in Dominica, all users. L1 users: 4,300 in Dominica (2022 Joshua Project), based on ethnicity. L2 users: 64,000 (2022).",1 (National). De facto national language.,"Non-indigenous. When Creole languages exist alongside their lexifier language, as in Dominica, a continuum forms of variations between the Creole and the lexifier language. It is therefore difficult to substantiate the number of Creole speakers and English speakers.",Taught in all primary and secondary schools.
Dominican Republic,"49,300 in Dominican Republic (2021 Joshua Project), based on ethnicity.",8a (Moribund).,Non-indigenous. Descendants of ex-slaves from the United States settled in 1824. Reportedly a settlement of African slaves existed here in the early 1500s. Includes features of creolization and archaic Black English.,N/A
East Timor,"21,170 in East Timor, all users. L1 users: 7,270 in East Timor (2015 census). L2 users: 13,900 (2015 census).",Unestablished.,Non-indigenous.,N/A
Ecuador,"93,200 in Ecuador (2022 Joshua Project), based on ethnicity.",Unestablished.,Non-indigenous.,N/A
Egypt,"36,519,000 in Egypt, all users. L1 users: 19,000 in Egypt (2020 Joshua Project), based on ethnicity. L2 users: 36,500,000 (Ramaswami et al 2012).",4 (Educational).,Non-indigenous.,"Taught in primary and secondary schools from grade 7, only for mathematics and sciences. Taught in tertiary schools, specifically in medicine, engineering, and science."
El Salvador,"9,400 in El Salvador (2021 Joshua Project), based on ethnicity.",4 (Educational).,Non-indigenous.,Taught as subject in all secondary schools.
Eritrea,N/A,3 (Wider communication). De facto national working language.,Non-indigenous.,Taught in primary and secondary schools. Taught in all tertiary schools.
Estonia,"663,880 in Estonia, all users. L1 users: 3,880 in Estonia (2021 census). L2 users: 660,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in all secondary schools.
Eswatini,"68,200 in Eswatini, all users. L1 users: 16,200 in Eswatini (2020). L2 users: 52,000 (2020).","1 (National). Statutory national language (2005, Constitution, Article 3(2)).",Non-indigenous. Taught in all government and private schools.,Taught in all primary and secondary schools from grade 5.
Ethiopia,"254,400 in Ethiopia, all users. L1 users: 4,400 in Ethiopia (2023 Joshua Project), based on ethnicity. L2 users: 250,000 (2020).",4 (Educational).,Non-indigenous.,Taught in all primary and secondary schools from grade 5. Taught in all tertiary schools.
Falkland Islands,"3,560 in Falkland Islands (2021 World Factbook).",1 (National). De facto national language.,"Non-indigenous. Christian, secular.",Taught in all primary and secondary schools.
Fiji,"190,000 in Fiji, all users. L1 users: 30,000 in Fiji (2021). L2 users: 160,000 (2021).",1 (National). De facto national working language.,Non-indigenous.,"Taught in most primary and secondary schools, officially beginning in grade 4, but all grades in most primary schools."
Finland,"3,895,600 in Finland, all users. L1 users: 25,600 in Finland (2021 census). L2 users: 3,870,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools.
France,"26,911,000 in France, all users. L1 users: 211,000 in France (2024 census), based on nationality. L2 users: 26,700,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in most secondary schools.
Gambia,"70,140 in Gambia, all users. L1 users: 2,540 in Gambia (2022). L2 users: 67,600 (2022).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools. Taught in all tertiary schools.
Germany,"46,991,000 in Germany, all users. L1 users: 391,000 in Germany (2021 census), based on nationality. L2 users: 46,600,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools. Taught in some tertiary schools.
Ghana,"14,208,600 in Ghana, all users. L1 users: 8,600 in Ghana (2020 Joshua Project), based on ethnicity. L2 users: 14,200,000 (2020 census), based on literacy rate in English of respondents 15 years old and older.",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools from grade 4; taught as subject in grades 1–3. Taught in all tertiary schools.
Gibraltar,"30,000 in Gibraltar, all users. L1 users: 28,000 in Gibraltar (Crystal 2003a). L2 users: 2,000 (Crystal 2003a).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
Greece,"5,535,400 in Greece, all users. L1 users: 15,400 in Greece (2011 census). L2 users: 5,520,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools.
Greenland,"2,000 in Greenland (2021), based on ethnicity.",Unestablished.,Non-indigenous.,N/A
Grenada,"5,650 in Grenada (2020).",1 (National). De facto national language.,"Non-indigenous. When Creole languages exist alongside their lexifier language, as in Grenada, a continuum forms of variations between the Creole and the lexifier language. In such situations, a continuum forms of variations between the Creole and the acrolect. It is therefore difficult to substantiate the number of Creole speakers and English speakers. Post-creole English with French Creole influences (Alleyne 1985).",Taught in all primary and secondary schools.
Guam,"73,300 in Guam, all users. L1 users: 32,300 in Guam (2020), based on ethnicity. L2 users: 41,000 (2020).","1 (National). Statutory national language (1974, Guam Code Annotated, Chapter 7, Section 706, amended), dominates in administration, education and media.",Non-indigenous. United States military and dependents.,Taught in all primary and secondary schools. Taught in all tertiary schools.
Guernsey,"62,500 in Guernsey.","1 (National). Statutory national language (2006, Amendment 2, Royal Court Rules).",Non-indigenous.,Taught in all primary and secondary schools.
Guinea-Bissau,"42,200 in Guinea-Bissau (2015 UNSD), L2 users.",5* (Dispersed).,Non-indigenous.,N/A
Guyana,"102,000 in Guyana, all users. L1 users: 72,000 in Guyana (2021 Joshua Project), based on ethnicity. L2 users: 30,000 (Crystal 2003a).",1 (National). De facto national language.,"Non-indigenous. When Creole languages exist alongside their lexifier language, as in Guyana, a continuum forms of variations between the Creole and the lexifier language. It is therefore difficult to substantiate the number of Creole speakers and English speakers.",Taught in all primary and secondary schools. Taught in all tertiary schools.
Haiti,"17,000 in Haiti (2022 Joshua Project), based on ethnicity.",Unestablished.,Non-indigenous.,N/A
Honduras,"33,400 in Honduras (2021), including 14,300 speakers of Bay Island Creole English and 19,100 English speakers on the mainland.",5* (Dispersed).,Non-indigenous. Some creole influence.,Taught as subject in secondary schools.
Hong Kong,"4,211,000 in Hong Kong, all users. L1 users: 331,000 in Hong Kong (2021 census), increasing. L2 users: 3,880,000 (2021 census).","2 (Provincial). Statutory provincial working language in Hong Kong Special Administrative Region (1997, Basic Law, Article 9).",Non-indigenous.,Taught as subject in most primary schools. Used as language of instruction in secondary schools. Taught in most tertiary schools.
Hungary,"2,427,800 in Hungary, all users. L1 users: 7,800 in Hungary (2020 Joshua Project), based on ethnicity. L2 users: 2,420,000 (2022 census).",4 (Educational).,Non-indigenous.,"Taught as subject in primary and secondary schools, from grade 6, but as early as grade 3 in some schools. Taught in some tertiary schools."
Iceland,"321,150 in Iceland, all users. L1 users: 1,150 in Iceland (2022). L2 users: 320,000 (2022).",5* (Dispersed).,Non-indigenous.,Taught as subject in secondary schools.
India,"268,260,000 in India, all users. L1 users: 260,000 in India (2011 census). L2 users: 268,000,000 (2020).","1 (National). Statutory national working language (1950, Constitution, Articles 343 and 348(1)).",Non-indigenous. Neither British nor American English but a distinct Indian dialect with its own unique vocabulary and style.,"Taught in some primary and secondary schools, more in southern India than in northern India; taught as subject in all other schools. Taught in most tertiary schools."
Indonesia,"34,000 in Indonesia (2020 Joshua Project), based on ethnicity.",Unestablished.,Non-indigenous.,N/A
Iraq,"14,403,500 in Iraq, all users. L1 users: 3,500 in Iraq (2021 Joshua Project), based on ethnicity. L2 users: 14,400,000 (Ramaswami et al 2012).",4 (Educational).,Non-indigenous.,"Taught as subject in primary and secondary schools. Taught as subject in tertiary schools. Some faculties in colleges and universities, like medicine and engineering, employ English as the language of instruction."
Isle of Man,"84,500 in Isle of Man (2022).",1 (National). De facto national working language.,Non-indigenous.,Taught in all primary and secondary schools.
Israel,"6,210,000 in Israel, all users. L1 users: 100,000 in Israel (Leclerc 2023b). L2 users: 6,110,000 (2018).",4 (Educational).,Non-indigenous.,Taught as subject in primary and secondary schools from grade 3. Taught in some tertiary schools.
Italy,"20,234,000 in Italy, all users. L1 users: 34,000 in Italy (2021 Joshua Project), based on ethnicity. L2 users: 20,200,000 (European Commission 2012).",5* (Dispersed).,Non-indigenous.,N/A
Jamaica,"84,000 in Jamaica, all users. L1 users: 34,000 in Jamaica (2023 Joshua Project), based on ethnicity. L2 users: 50,000 (Crystal 2003a).",1 (National). De facto national language.,"Non-indigenous. When Creole languages exist alongside their lexifier language, a continuum forms of variations between the Creole and the lexifier language. It is therefore difficult to substantiate the exact number of Creole speakers and speakers of the lexifier language.",Taught in all primary and secondary schools. Taught in all tertiary schools.
Japan,"10,973,000 in Japan, all users. L1 users: 73,000 in Japan (Leclerc 2020b). L2 users: 10,900,000 (2020).",5* (Dispersed).,Non-indigenous.,Taught as subject in all primary and secondary schools.
Jersey,"96,500 in Jersey (2022 World Factbook).","1 (National). Statutory national language (2006, Amendment 2, Royal Court Rules).",Non-indigenous.,Taught in all primary and secondary schools.
Jordan,"4,636,300 in Jordan, all users. L1 users: 16,300 in Jordan (2022), based on ethnicity. L2 users: 4,620,000 (Ramaswami et al 2012).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools.
Kazakhstan,"1,870,900 in Kazakhstan, all users. L1 users: 900 in Kazakhstan (2017 J. Leclerc). L2 users: 1,870,000 (2009 census).",4 (Educational).,Non-indigenous.,Taught as subject in most primary and secondary schools.
Kenya,"44,054,000 in Kenya, all users. L1 users: 54,000 in Kenya (2020 Joshua Project), increasing, based on ethnicity. L2 users: 44,000,000 (2020).","1 (National). Statutory national language (2010, Constitution, Article 7(2)).",Non-indigenous.,Taught in all primary and secondary schools. Taught in all tertiary schools.
Kiribati,"37,100 in Kiribati, all users. L1 users: 2,100 in Kiribati (2021 Joshua Project). L2 users: 35,000 (2019).","1 (National). De facto national language, should official texts conflict in interpretation, English prevails over Kiribati.",Non-indigenous.,Taught in all primary and secondary schools from grade 4.
Kuwait,"27,000 in Kuwait (2022 Joshua Project), based on ethnicity.",4 (Educational).,Non-indigenous.,"Taught as subject in most primary and secondary schools, both private and public. Taught in most tertiary schools."
Kyrgyzstan,"38,200 in Kyrgyzstan (2022 census), L2 users.",5* (Dispersed).,Non-indigenous.,N/A
Latvia,"863,000 in Latvia (European Commission 2012), L2 users.",4 (Educational).,Non-indigenous.,Taught as subject in many secondary schools.
